model,label,precision,recall,f1_score,support
logistic_regression,0,0.3851132686084142,0.6363636363636364,0.4798387096774194,187.0
logistic_regression,1,0.9314516129032258,0.829443447037702,0.8774928774928775,1114.0
logistic_regression,accuracy,0.8016910069177555,0.8016910069177555,0.8016910069177555,
logistic_regression,macro avg,0.65828244075582,0.7329035417006692,0.6786657935851484,1301.0
logistic_regression,weighted avg,0.8529233497340254,0.8016910069177555,0.8203358218576041,1301.0
random_forest,0,0.4892086330935252,0.36363636363636365,0.4171779141104294,187.0
random_forest,1,0.8975903614457831,0.9362657091561939,0.9165202108963093,1114.0
random_forest,accuracy,0.8539584934665642,0.8539584934665642,0.8539584934665642,
random_forest,macro avg,0.6933994972696541,0.6499510363962788,0.6668490625033694,1301.0
random_forest,weighted avg,0.8388913735888482,0.8539584934665642,0.8447469522499146,1301.0
xgboost,0,0.7951807228915663,0.35294117647058826,0.4888888888888889,187.0
xgboost,1,0.9006568144499179,0.9847396768402155,0.9408233276157805,1114.0
xgboost,accuracy,0.8939277478862413,0.8939277478862413,0.8939277478862413,
xgboost,macro avg,0.8479187686707421,0.6688404266554019,0.7148561082523347,1301.0
xgboost,weighted avg,0.8854961464088634,0.8939277478862413,0.8758642653237522,1301.0
soft_ensemble,0,0.6422764227642277,0.42245989304812837,0.5096774193548387,187.0
soft_ensemble,1,0.9083191850594228,0.9605026929982047,0.9336823734729494,1114.0
soft_ensemble,accuracy,0.8831667947732513,0.8831667947732513,0.8831667947732513,
soft_ensemble,macro avg,0.7752978039118252,0.6914812930231665,0.721679896413894,1301.0
soft_ensemble,weighted avg,0.8700793721853247,0.8831667947732513,0.8727377720739589,1301.0
